"PotID","Treatment","Population","Line","Replicate","Chamber","Flat","Transplanted","DaysToEmergence","EmergenceToBolting","BoltingToRootWashing","BoltingToHarvest","NumEmerged","LeafNumber_PreVern","LeafNumber_Jun6","LeafNumber_Jun13","SL_FreshWt","SL_HydWt","SL_DryWt","SL_Area","SL_Perim","LeafNumber_Total","LeafNumber_Rosette","LeafNumber_UnderLeaves","AG_DryBiomass","BG_DryBiomass","Stomata_avg","SLA","LDMC","RWC","Root_to_Shoot","Stomata_density","l10_DaysToEmergence","l10_SL_FreshWt","l10_SL_HydWt","SQR_SL_HydWt","SQR_SL_DryWt","SQR_SL_Area","l10_SLA","l10_LDMC","l10_LeafNumber_Total","l10_LeafNumber_Rosette","SQR_LeafNumber_UnderLeaves","SQR_AG_DryBiomass","l10_AG_DryBiomass","SQR_BG_DryBiomass","l10_Root_to_Shoot","l10_Stomata_avg","l10_Stomata_density"
"R35-1-C","Current","R",35,"1","1","Current2","no",4,84,1,0,3,10,24,30,0.0948,0.1062,0.0112,2.997,9.277,82,45,37,0.4854,0.0531,40.5,267.589285714286,0.105461393596987,0.88,0.109394313967862,592.151434809732,0.602059991327962,-1.02319166266193,-0.97387548325455,0.325883414736006,0.105830052442584,1.73118456555042,2.42746872027546,-0.976906494075269,1.91381385238372,1.65321251377534,6.08276253029822,0.696706537934014,-0.313900228004084,0.230434372436058,-0.961005250914447,1.60745502321467,2.77243278593232
"R35-1-F","Future","R",35,"1","1","Future2","no",4,81,1,0,5,10,25,37,0.0642,0.0735,0.0111,2.227,8.188,79,NA,NA,0.4197,0.0463,43.5,200.630630630631,0.151020408163265,0.850961538461538,0.110316893018823,636.014504054897,0.602059991327962,-1.19246497193115,-1.13371266091581,0.271108834234519,0.105356537528527,1.49231363995643,2.30239723824738,-0.820964360297537,1.89762709129044,NA,NA,0.647842573469821,-0.37706103078851,0.2151743479135,-0.957357978193537,1.63848925695464,2.80346701967229
"R35-2-C","Current","R",35,"2","1","Current1","no",4,100,2,1,4,9,26,31,0.1392,0.1586,0.0175,4.677,12.925,134,55,79,1.0045,0.1116,43,267.257142857143,0.110340479192938,0.862508858965273,0.111100049776008,628.703992514036,0.602059991327962,-0.856360764725457,-0.799696817018415,0.398246155034798,0.13228756555323,2.16263727887966,2.42692932122221,-0.95726513429529,2.12710479836481,1.74036268949424,8.88819441731559,1.00224747442934,0.00194994108426794,0.334065861769801,-0.954285746482708,1.63346845557959,2.79844621829724
"R35-2-F","Future","R",35,"2","1","Future1","no",4,88,5,0,4,8,21,29,0.0495,0.0625,0.0118,1.717,6.551,51,46,5,0.4178,0.0393,42,145.508474576271,0.1888,0.743589743589744,0.0940641455241742,614.082969432314,0.602059991327962,-1.30539480106643,-1.20411998265592,0.25,0.108627804912002,1.31034346642398,2.16288828785479,-0.72399801003795,1.70757017609794,1.66275783168157,2.23606797749979,0.646374504447693,-0.37903156435571,0.19824227601599,-1.02657588526886,1.6232492903979,2.78822705311555
"R35-3-C","Current","R",35,"3","2","Current3","no",5,86,3,1,3,8,22,28,0.0718,0.0806,0.0078,2.477,8.354,84,38,46,0.3008,0.0409,41.5,317.564102564103,0.0967741935483871,0.879120879120879,0.135970744680851,606.772457891453,0.698970004336019,-1.1438755557577,-1.09366495819491,0.283901391331568,0.0883176086632785,1.57384878562078,2.50183140389536,-1.01424043911461,1.92427928606188,1.57978359661681,6.78232998312527,0.548452368032084,-0.521722168080395,0.202237484161567,-0.866554523912263,1.61804809671209,2.78302585942974
"R35-3-F","Future","R",35,"3","2","Future4","no",4,88,5,0,5,8,31,44,0.0442,0.0574,0.0095,1.558,6.477,78,42,36,0.4078,0.0405,37.5,164,0.165505226480836,0.724425887265136,0.0993133889161354,548.288365564566,0.602059991327962,-1.35457773065091,-1.24108810760203,0.239582971014219,0.0974679434480896,1.24819870213039,2.2148438480477,-0.781188287109126,1.89209460269048,1.6232492903979,6,0.638592201643584,-0.389552778557879,0.201246117974981,-1.00299219822745,1.57403126772772,2.73900903044537
"R35-4-C","Current","R",35,"4","2","Current3","no",4,87,4,1,3,9,23,29,0.0812,0.0914,0.0099,2.625,8.269,75,44,31,0.4777,0.0703,49,265.151515151515,0.108315098468271,0.874846625766871,0.147163491731212,716.430131004367,0.602059991327962,-1.09044397075882,-1.03905380426617,0.302324329156619,0.099498743710662,1.62018517460197,2.42349411314443,-0.965311001136281,1.8750612633917,1.64345267648619,5.56776436283002,0.691158447825099,-0.320844758716646,0.265141471671257,-0.83219991626353,1.69019608002851,2.85517384274616
"R35-4-F","Future","R",35,"4","2","Future3","no",4,86,3,1,3,10,26,36,0.0925,0.1164,0.0155,3.174,9.215,74,56,18,0.4867,0.0604,39,204.774193548387,0.133161512027491,0.763131813676908,0.124101088966509,570.219900187149,0.602059991327962,-1.03385826726097,-0.93404701968613,0.34117444218464,0.124498995979887,1.78157233925541,2.31127522424854,-0.875621282143578,1.86923171973098,1.7481880270062,4.24264068711928,0.697638875063596,-0.312738653756494,0.24576411454889,-0.906224407622375,1.5910646070265,2.75604236974415
"R40-1-C","Current","R",40,"1","1","Current2","no",5,85,4,1,4,7,17,20,0.0642,0.0765,0.0084,2.216,7.628,96,42,54,0.4655,0.0602,41,263.809523809524,0.109803921568627,0.819383259911894,0.129323308270677,599.461946350592,0.698970004336019,-1.19246497193115,-1.11633856484638,0.276586333718787,0.0916515138991168,1.48862352527427,2.42129046999451,-0.959382149091736,1.98227123303957,1.6232492903979,7.34846922834953,0.682275604136627,-0.332080314682639,0.245356882927706,-0.888323194059537,1.61278385671974,2.77776161943738
"R40-1-F","Future","R",40,"1","1","Future2","no",4,90,6,0,6,8,25,32,0.0506,0.0619,0.012,1.756,6.975,75,48,27,0.4857,0.0446,49,146.333333333333,0.193861066235864,0.773547094188377,0.0918262301832407,716.430131004367,0.602059991327962,-1.2958494831602,-1.20830935097988,0.248797106092495,0.109544511501033,1.3251415018782,2.16534326552246,-0.712509402972493,1.8750612633917,1.68124123737559,5.19615242270663,0.696921803361037,-0.313631896526964,0.211187120819429,-1.03703324476089,1.69019608002851,2.85517384274616
