Weigh Order,Population,Line,Replicate,Treatment,Pot ID,Soil Mix Batch Number,Emergence,notes,Bolting,Flowering,Wilted_Died,,,,,,,
6,BELM,13,1,Future,B13-1-F,8,6/29/2021,,-,-,,,,,,,,
49,BELM,13,2,Future,B13-2-F,5,6/28/2021,,-,-,,,,,,,,
7,RODA,5,1,Future,R5-1-F,5,7/2/2021,looks empty on 7/9 and 7/13,-,-,,,,,,,,
40,RODA,5,2,Future,R5-2-F,1,7/2/2021,looks empty on 7/7 and 7/13,-,-,7/22/2021,,,,,,,
27,RODA,9,1,Future,R9-1-F,6,,?,-,-,7/28/2021,,,,,,,
32,RODA,26,1,Future,R26-1-F,5,6/29/2021,,-,-,7/22/2021,,,,,,,
23,RODA,47,6,Future,R47-6-F,1,,seeds bad,-,-,7/22/2021,,,,,,,
8,BELM,2,2,Current,B2-2-C,4,8/12/2021,suuuuper slow. Not sure it will survive.,-,,,,,,,,,
28,BELM,4,1,Current,B4-1-C,4,,genotype. Could be environment or bad seeds,-,,,,,,,,,
22,RODA,5,2,Current,R5-2-C,4,,seems to b generally slow to germinate but also could be an environment effect,-,,,,,,,,,
24,RODA,33,1,Current,R33-1-C,5,7/1/2021,empty on 7/6,-,,,,,,,,,
38,BELM,2,1,Current/Future,B2-1-CF,7,7/8/2021,just rather late. Cotelydons not yet open.,-,,,,,,,,,
23,BELM,2,2,Current/Future,B2-2-CF,4,8/3/2021,quite a late bloomer. Into vernalization.,-,,,,,,,,,
42,BELM,4,1,Current/Future,B4-1-CF,8,7/11/2021,new emergent on 8/3/2021! This one is in the study until it dies.,-,,,,,,,,,
41,BELM,12,2,Current/Future,B12-2-CF,2,7/7/2021,mixed results,-,,,,,,,,,
43,BELM,13,1,Current/Future,B13-1-CF,7,8/3/2021,into vernalization before emerged,-,,,,,,,,,
15,RODA,5,2,Current/Future,R5-2-CF,6,,slow or env,-,,,,,,,,,
,TEST,-,-,NONE,TEST,1,,,,,,,,,,,,
,Test2,-,2,NONE,Test2,mix (end),,,,,,,,,,,,
