Population,Line,Replicate,Treatment,Pot ID,Leaf_Collected,FreshWt_g,SatWt_g,DriedWt_g,Notes,LeafArea,LeafPerimeter,Scale (pixels/cm),Notes
BELM,4,1,Future,B4-1-F,-,,,,dead after vern,,,,
BELM,4,2,Future,B4-2-F,-,,,,dead after vern,,,,
RODA,26,1,Future,R26-1-F,-,,,,dead after vern,,,,
RODA,47,6,Future,R47-6-F,-,,,,dead after vern,,,,
RODA,5,1,Future,R5-1-F,-,,,,dead after vern,,,,
RODA,5,2,Future,R5-2-F,-,,,,dead after vern,,,,
RODA,9,1,Future,R9-1-F,-,,,,dead after vern,,,,
BELM,2,2,Current,B2-2-C,,,,,dead after vern,,,,
BELM,4,1,Current,B4-1-C,,,,,dead after vern,,,,
RODA,33,1,Current,R33-1-C,,,,,dead after vern,,,,
RODA,5,2,Current,R5-2-C,,,,,dead after vern,,,,
BELM,12,2,Current/Future,B12-2-CF,,,,,,,,,
BELM,13,1,Current/Future,B13-1-CF,,,,,,,,,
BELM,2,1,Current/Future,B2-1-CF,,,,,dried after vern,,,,
BELM,2,2,Current/Future,B2-2-CF,,,,,dried up in spring,,,,
BELM,4,1,Current/Future,B4-1-CF,,,,,dead after vern,,,,
RODA,5,2,Current/Future,R5-2-CF,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
