Population,Line,Replicate,Treatment,Pot.ID,ImageJ_FruitCount,ImageJ_Counter,"bolting stalk (bent, broken, leaning, straight(",num lateral branches from main stalk,num primary stalks from rosette (main included),height main stalk (cm),total fruit num,num fruits collected,fruit collected location,done flowering,number flowers left,Notes,All Fruit Collected Weight (mg),seeds only weight,scanner position,scanned photo name,ImageJ_seed count,SeedCounter,BasiaFruitCount,Notes2
RODA,47,6,Current,R47-6-C,680,CC,bent,9,12,56,767,10,"2,19,22,24,26,28,30,32,34,36",n,120,,24.22,15.96,2,6,725,CH,635,
BELM,1,1,Current/Future,B1-1-CF,110,TM,leaning,7,7,21.5,124,10,"2 on sides,6,21,22,30,32,35,37,39",y,0,all small fruits; 4 branches are just started; 6 primary stalks noted as tiny,11.02,4.42,1,6,266,CH,NA,
BELM,1,2,Current/Future,B1-2-CF,58,TM,bent,5,3,,61,10,"1,3,10,11,12,13,18,21,24,33",n,-,and leaning,13.63,7.86,1,10,364,SB,NA,
BELM,1,3,Current/Future,B1-3-CF,127,TM,bent,5,1,23,144,10,"22,26,12,13,14,2,6,8,16,17",y,0,siliques moldy,19.78,13.55,11,9,510,SB,NA,overestimate with all the dark/flat seeds: 538
BELM,1,4,Current/Future,B1-4-CF,101,TM,bent,4,1,25.3,138,10,"7,10,11,13,18,25,28,34,38,52",y,0,6 'tiny tiny' primary stalks were not counted; silique moldy,21.12,14.2,8,9,458,SB,NA,overestimate with all the dark/flat seeds: 490
BELM,1,5,Current/Future,B1-5-CF,118,TM,bent,7,8,24,128,10,"4,7,9,11,15,19,21,3 from side",n,-,5 tiny primar stalks were included,17.41,11.43,6,10,412,SB,NA,with coutnign small darker ones: 470
BELM,1,6,Current/Future,B1-6-CF,281,TM,straight,8,11,20,319,10,"11,13,14,15,17,19,22,24,26,28",y,0,"some branches are bent; 3 primary stalks were noted as tiny, 1 with no flowers was not counted",15.96,10.57,3,10,416,SB,NA,did not count small darker ones that I think were flat seeds…471 when counting those
BELM,3,1,Current/Future,B3-1-CF,168,TM,leaning,6,4,20.3,196,10,"10,11,12,14,15,16,18,21,24,26",y,0,,15.26,9.95,7,10,418,SB,NA,
BELM,3,2,Current/Future,B3-2-CF,140,TM,leaning,8,2,26,163,10,"11,12,13,14,15,17,19,21,24,26",y,0,1 primary stalk was noted as tiny,16.39,10.4,8,10,402,SB,NA,old count (no initials) was 415
BELM,4,2,Current/Future,B4-2-CF,141,TM,leaning,5,1,29.7,149,10,"11,19,22,24,26+5 on sides",y,0,,8.27,4.25,4,8,328,EA,NA,
